case_id,scenario,objective,total_budget_cad,allocated_budget_cad,unspent_budget_cad,funded_routes,active_routes_funded,relaunch_routes_funded,relaunch_budget_cad,incremental_passenger_proxy,incremental_route_health_points,cost_per_incremental_passenger_proxy_cad,objective_value,notes
pilot_health_250k,base,route_health,250000,250000,0,4,4,0,0,4550.4496,13.7584,54.9396,13.7584,Small active-route pilot optimized for route-health lift.
balanced_health_500k,base,route_health,500000,500000,0,7,7,0,0,18080.9174,24.4766,27.6535,24.4766,Balanced active plus limited relaunch portfolio optimized for route-health lift.
growth_passengers_500k,base,incremental_passengers,500000,500000,0,6,6,0,0,23734.2216,17.3945,21.0666,23734.2216,Active-route allocation optimized for incremental passenger proxy.
portfolio_value_500k,base,portfolio_value,500000,500000,0,7,6,1,75000,16935.9506,22.2229,29.5230,23.6681,Recommended balanced case combining health lift passenger proxy and strategic priority.
downside_portfolio_500k,conservative,portfolio_value,500000,500000,0,7,6,1,50000,7970.0024,14.2976,62.7352,16.6563,Downside stress test using conservative response assumptions.
upside_portfolio_500k,optimistic,portfolio_value,500000,500000,0,7,6,1,75000,37855.0293,34.7583,13.2083,34.5739,Upside stress test using optimistic response assumptions.
broad_test_875k,base,portfolio_value,875000,875000,0,10,8,2,150000,24538.7911,36.2108,35.6578,33.6155,Broader test portfolio roughly matching the Phase 4 selected-test budget envelope.
