route_id,origin_iata,destination_iata,month,route_active,weekly_frequency_proxy,route_supply_confidence,route_supply_event_count,route_supply_event_ids,route_supply_carriers,route_supply_evidence_types,route_supply_source_titles,route_supply_source_urls
YKF_YVR,YKF,YVR,2023-07-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2023-08-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2023-09-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2023-10-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2023-11-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2023-12-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2024-01-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2024-02-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2024-03-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2024-04-01,1,7.0,high,1,YKF_YVR_2021_START,Flair,official_airport_release,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d
YKF_YVR,YKF,YVR,2024-05-01,1,7.0,high,2,YKF_YVR_2021_START|YKF_YVR_2024_SUMMER,Flair,official_airport_release|schedule_archive,Waterloo Airport and Flair Airlines Announce Additional Destinations|Flair Airlines NS24 Network Changes,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d|https://www.aeroroutes.com/eng/240326-f8ns24
YKF_YVR,YKF,YVR,2024-06-01,1,7.0,high,2,YKF_YVR_2021_START|YKF_YVR_2024_SUMMER,Flair,official_airport_release|schedule_archive,Waterloo Airport and Flair Airlines Announce Additional Destinations|Flair Airlines NS24 Network Changes,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d|https://www.aeroroutes.com/eng/240326-f8ns24
YKF_YVR,YKF,YVR,2024-07-01,1,7.0,high,2,YKF_YVR_2021_START|YKF_YVR_2024_SUMMER,Flair,official_airport_release|schedule_archive,Waterloo Airport and Flair Airlines Announce Additional Destinations|Flair Airlines NS24 Network Changes,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d|https://www.aeroroutes.com/eng/240326-f8ns24
YKF_YVR,YKF,YVR,2024-08-01,1,7.0,high,2,YKF_YVR_2021_START|YKF_YVR_2024_SUMMER,Flair,official_airport_release|schedule_archive,Waterloo Airport and Flair Airlines Announce Additional Destinations|Flair Airlines NS24 Network Changes,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d|https://www.aeroroutes.com/eng/240326-f8ns24
YKF_YVR,YKF,YVR,2024-09-01,1,7.0,high,2,YKF_YVR_2021_START|YKF_YVR_2024_SUMMER,Flair,official_airport_release|schedule_archive,Waterloo Airport and Flair Airlines Announce Additional Destinations|Flair Airlines NS24 Network Changes,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d|https://www.aeroroutes.com/eng/240326-f8ns24
YKF_YVR,YKF,YVR,2024-10-01,1,7.0,high,2,YKF_YVR_2021_START|YKF_YVR_2024_SUMMER,Flair,official_airport_release|schedule_archive,Waterloo Airport and Flair Airlines Announce Additional Destinations|Flair Airlines NS24 Network Changes,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d|https://www.aeroroutes.com/eng/240326-f8ns24
