route_id,scenario,campaign_budget_cad,route_segment,end_of_period_route_status,capacity_required_flag,baseline_annual_passenger_proxy,max_lift_pct_adjusted,half_saturation_spend_cad_adjusted,response_share,incremental_passenger_proxy,incremental_pct_of_baseline_proxy,cost_per_incremental_passenger_proxy_cad,incremental_route_health_points,marketing_support_priority_score_v0,route_sustainability_score_v0,data_confidence_score,source_recommendation
YLW_YEG,conservative,150000,medium_haul,active,0,65230.6149,0.0167,108000.0000,0.5814,568.5483,0.0087,263.8298,2.5961,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,conservative,250000,medium_haul,active,0,65230.6149,0.0167,108000.0000,0.6983,682.8932,0.0105,366.0894,3.1182,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,conservative,400000,medium_haul,active,0,65230.6149,0.0167,108000.0000,0.7874,770.0025,0.0118,519.4789,3.5160,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,0,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.0000,0.0000,0.0000,,0.0000,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,25000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.2066,505.1153,0.0077,49.4937,1.3566,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,50000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.3425,837.2458,0.0128,59.7196,2.2486,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,75000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.4386,1072.2622,0.0164,69.9456,2.8798,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,100000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.5102,1247.3254,0.0191,80.1715,3.3499,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,150000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.6098,1490.7060,0.0229,100.6235,4.0036,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,250000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.7225,1766.4435,0.0271,141.5273,4.7441,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,base,400000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.8065,1971.5789,0.0302,202.8831,5.2951,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,0,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.0000,0.0000,0.0000,,0.0000,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,25000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.2294,1116.4643,0.0171,22.3921,2.1054,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,50000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.3731,1816.3375,0.0278,27.5279,3.4252,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,75000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.4717,2296.1248,0.0352,32.6637,4.3300,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,100000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.5435,2645.5350,0.0406,37.7995,4.9889,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,150000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.6410,3120.3747,0.0478,48.0712,5.8843,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,250000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.7485,3643.5513,0.0559,68.6144,6.8709,44.5366,68.3102,52.0833,Low priority for marketing allocation
YLW_YEG,optimistic,400000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.8264,4022.9624,0.0617,99.4292,7.5864,44.5366,68.3102,52.0833,Low priority for marketing allocation
YHM_YVR,conservative,0,long_haul,active,0,105896.3025,0.0184,156000.0000,0.0000,0.0000,0.0000,,0.0000,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,conservative,25000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.1381,242.2748,0.0023,103.1886,0.6226,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,conservative,50000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.2427,425.7451,0.0040,117.4412,1.0941,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,conservative,75000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.3247,569.5032,0.0054,131.6937,1.4635,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,conservative,100000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.3906,685.1835,0.0065,145.9463,1.7608,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,conservative,150000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.4902,859.8382,0.0081,174.4514,2.2096,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,conservative,250000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.6158,1080.0923,0.0102,231.4617,2.7756,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,conservative,400000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.7194,1261.9208,0.0119,316.9771,3.2428,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,base,0,long_haul,active,0,105896.3025,0.0442,144000.0000,0.0000,0.0000,0.0000,,0.0000,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,base,25000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.1479,691.9408,0.0065,36.1303,1.0034,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,base,50000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.2577,1205.5463,0.0114,41.4750,1.7482,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,base,75000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.3425,1601.8903,0.0151,46.8197,2.3230,44.1572,64.4343,19.4444,Needs schedule data before spend decision
