scenario_id,spend_mechanism,effect_strength,effect_multiplier,noise_pct,replicate,model_spec,true_channel_rank,estimated_channel_rank,true_top_channel,estimated_top_channel,top_channel_recovered,top2_budget_direction_overlap,spearman_rank_corr,budget_efficiency_ratio,positive_sign_accuracy,coef_paid_search,coef_paid_social,coef_local_ooh,coef_display_video,true_roi_paid_search,true_roi_paid_social,true_roi_local_ooh,true_roi_display_video
channel_bundle_base,channel_bundle,base,1.000000,0.140000,26,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>display_video>local_ooh,paid_search,paid_social,0,1.000000,0.600000,0.920587,0.500000,2.005929,2.427077,-2.685618,-1.591923,0.052599,0.034257,0.028866,0.019933
channel_bundle_base,channel_bundle,base,1.000000,0.140000,27,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,display_video>paid_search>paid_social>local_ooh,paid_search,display_video,0,0.500000,-0.200000,0.814001,0.750000,34259.906125,21564.802945,-18605.019412,35558.199886,0.052758,0.034346,0.028879,0.019998
channel_bundle_base,channel_bundle,base,1.000000,0.140000,27,controlled_adstock,paid_search>paid_social>local_ooh>display_video,display_video>paid_search>paid_social>local_ooh,paid_search,display_video,0,0.500000,-0.200000,0.814001,0.750000,4975.191708,1334.711148,-3086.538608,7051.906192,0.052758,0.034346,0.028879,0.019998
channel_bundle_base,channel_bundle,base,1.000000,0.140000,27,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_search>display_video>paid_social>local_ooh,paid_search,paid_search,1,0.500000,0.400000,0.935703,0.750000,1.843127,0.990692,-2.347363,1.038790,0.052758,0.034346,0.028879,0.019998
channel_bundle_base,channel_bundle,base,1.000000,0.140000,28,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,local_ooh>paid_social>display_video>paid_search,paid_search,local_ooh,0,0.500000,-0.400000,0.782939,1.000000,8003.929623,18873.640583,50168.738069,15218.279698,0.052694,0.034254,0.028976,0.019929
channel_bundle_base,channel_bundle,base,1.000000,0.140000,28,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>local_ooh>paid_search,paid_search,paid_social,0,0.500000,-0.400000,0.768914,0.500000,-2393.513711,3913.034166,-551.969865,2017.544478,0.052694,0.034254,0.028976,0.019929
channel_bundle_base,channel_bundle,base,1.000000,0.140000,28,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>paid_search>local_ooh,paid_search,paid_social,0,0.500000,0.000000,0.798320,0.750000,0.087230,2.592831,-1.996121,1.180462,0.052694,0.034254,0.028976,0.019929
channel_bundle_base,channel_bundle,base,1.000000,0.140000,29,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,display_video>paid_social>local_ooh>paid_search,paid_search,display_video,0,0.500000,-0.800000,0.717040,0.750000,-10988.759563,24034.625208,22167.818648,75217.206942,0.052436,0.034216,0.028804,0.019954
channel_bundle_base,channel_bundle,base,1.000000,0.140000,29,controlled_adstock,paid_search>paid_social>local_ooh>display_video,display_video>paid_social>paid_search>local_ooh,paid_search,display_video,0,0.500000,-0.400000,0.746449,0.750000,802.253775,3569.656352,-1967.537023,3771.127884,0.052436,0.034216,0.028804,0.019954
channel_bundle_base,channel_bundle,base,1.000000,0.140000,29,controlled_saturation,paid_search>paid_social>local_ooh>display_video,display_video>paid_search>paid_social>local_ooh,paid_search,display_video,0,0.500000,-0.200000,0.814473,0.750000,1.160681,0.504217,-1.517215,1.926797,0.052436,0.034216,0.028804,0.019954
channel_bundle_base,channel_bundle,base,1.000000,0.140000,30,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,local_ooh>paid_search>paid_social>display_video,paid_search,local_ooh,0,0.500000,0.400000,0.891620,1.000000,27956.234264,687.946008,46179.248493,413.843602,0.052656,0.034248,0.028895,0.019909
channel_bundle_base,channel_bundle,base,1.000000,0.140000,30,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>paid_search>local_ooh,paid_search,paid_social,0,0.500000,0.000000,0.798421,0.750000,978.628679,5031.441191,-3073.983664,4374.585744,0.052656,0.034248,0.028895,0.019909
channel_bundle_base,channel_bundle,base,1.000000,0.140000,30,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>local_ooh>paid_search,paid_search,paid_social,0,0.500000,-0.400000,0.768937,0.500000,-1.221848,2.908580,-1.013487,1.291309,0.052656,0.034248,0.028895,0.019909
channel_bundle_base,channel_bundle,base,1.000000,0.140000,31,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,display_video>paid_social>paid_search>local_ooh,paid_search,display_video,0,0.500000,-0.400000,0.745421,0.500000,-2000.205732,39420.647109,-4300.802792,58966.340992,0.052488,0.034157,0.028720,0.019879
channel_bundle_base,channel_bundle,base,1.000000,0.140000,31,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_search>display_video>local_ooh>paid_social,paid_search,paid_search,1,0.500000,0.200000,0.928898,0.500000,3924.005899,-1801.224360,-761.226579,2909.793968,0.052488,0.034157,0.028720,0.019879
channel_bundle_base,channel_bundle,base,1.000000,0.140000,31,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>paid_search>local_ooh,paid_search,paid_social,0,0.500000,0.000000,0.798747,0.750000,1.207545,3.810774,-4.582276,1.510850,0.052488,0.034157,0.028720,0.019879
channel_bundle_base,channel_bundle,base,1.000000,0.140000,32,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>local_ooh>display_video,paid_search,paid_social,0,1.000000,0.800000,0.932215,0.500000,45580.497204,46601.790898,-2024.112078,-62209.312610,0.052797,0.034520,0.028909,0.019950
channel_bundle_base,channel_bundle,base,1.000000,0.140000,32,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_search>paid_social>display_video>local_ooh,paid_search,paid_search,1,1.000000,0.800000,0.988925,0.500000,4617.163910,1392.145872,-2279.275299,-2203.295200,0.052797,0.034520,0.028909,0.019950
channel_bundle_base,channel_bundle,base,1.000000,0.140000,32,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>local_ooh>display_video,paid_search,paid_social,0,1.000000,0.800000,0.932215,0.500000,2.433704,3.826525,-3.198868,-4.171952,0.052797,0.034520,0.028909,0.019950
channel_bundle_base,channel_bundle,base,1.000000,0.140000,33,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,display_video>local_ooh>paid_search>paid_social,paid_search,display_video,0,0.000000,-0.800000,0.720687,0.750000,6182.120419,-5708.094574,52405.335964,59604.904301,0.052582,0.034303,0.029084,0.020032
channel_bundle_base,channel_bundle,base,1.000000,0.140000,33,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_search>display_video>paid_social>local_ooh,paid_search,paid_search,1,0.500000,0.400000,0.935680,0.750000,7177.082298,245.773201,-2592.334777,6069.239764,0.052582,0.034303,0.029084,0.020032
channel_bundle_base,channel_bundle,base,1.000000,0.140000,33,controlled_saturation,paid_search>paid_social>local_ooh>display_video,display_video>paid_search>local_ooh>paid_social,paid_search,display_video,0,0.500000,-0.400000,0.808109,0.500000,1.319546,-2.405821,-0.196895,3.929718,0.052582,0.034303,0.029084,0.020032
channel_bundle_base,channel_bundle,base,1.000000,0.140000,34,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>display_video>local_ooh,paid_search,paid_social,0,1.000000,0.600000,0.920434,0.750000,26215.932988,43632.752124,-19989.102918,6225.473545,0.052705,0.034277,0.028781,0.019919
channel_bundle_base,channel_bundle,base,1.000000,0.140000,34,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>local_ooh>paid_search,paid_search,paid_social,0,0.500000,-0.400000,0.768754,0.750000,-1184.904894,1516.552350,21.487351,1173.987253,0.052705,0.034277,0.028781,0.019919
channel_bundle_base,channel_bundle,base,1.000000,0.140000,34,controlled_saturation,paid_search>paid_social>local_ooh>display_video,display_video>paid_social>local_ooh>paid_search,paid_search,display_video,0,0.500000,-0.800000,0.715323,0.500000,-0.548277,0.611418,-0.309174,3.563634,0.052705,0.034277,0.028781,0.019919
channel_bundle_base,channel_bundle,base,1.000000,0.140000,35,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,local_ooh>display_video>paid_social>paid_search,paid_search,local_ooh,0,0.000000,-0.800000,0.730779,0.750000,-6741.732924,1796.594953,86655.135290,34230.986683,0.052747,0.034297,0.029069,0.020056
