case_id,route_id,campaign_budget_cad,decision_bucket,experiment_design,route_segment,end_of_period_route_status,capacity_required_flag,primary_metric,secondary_metrics,comparison_route_1,comparison_route_2,comparison_route_3,pre_period_weeks,test_period_weeks,post_period_weeks,baseline_annual_passenger_proxy,expected_incremental_passenger_proxy,expected_incremental_pct_of_baseline_proxy,planned_mde_pct,power_readiness,scale_decision_rule,maintain_decision_rule,stop_decision_rule,guardrail,data_confidence_score,route_sustainability_score_v0,marketing_support_priority_score_v0,source_recommendation
portfolio_value_500k,YKF_YEG,100000,scale_defend,matched_route_geo_lift,long_haul,active,0,route_bookings_or_booking_proxy,route_searches;landing_page_conversions;load_factor;fare_yield,YHM_YEG,YHM_YYC,YHM_YVR,12,8,4,30922.6955,917.4795,0.0297,0.0445,Low; use guardrail KPIs rather than definitive lift claim,Scale if observed incremental lift is >= 100% of base target (917 proxy passengers),Maintain or retest if observed lift is 60%-100% of base target,Stop or redesign if observed lift is < 60% of base target or guardrails fail,Do not scale if load factor or fare yield deteriorates materially.,93.9236,73.3315,71.6207,Scale or defend with controlled campaign
portfolio_value_500k,YKF_YYC,100000,test_and_learn,matched_route_geo_lift,long_haul,active,0,route_bookings_or_booking_proxy,route_searches;landing_page_conversions;load_factor;fare_yield,YHM_YYC,YHM_YVR,YHM_YEG,12,8,4,115220.8854,2645.9702,0.0230,0.0350,Directional; pool with similar routes or extend test window,"Scale if observed incremental lift is >= 85% of base target (2,249 proxy passengers)",Maintain or retest if observed lift is 50%-85% of base target,Stop or redesign if observed lift is < 50% of base target or guardrails fail,Do not scale if incremental demand appears to cannibalize nearby supported routes.,52.0833,76.3453,68.1332,Run test-and-learn marketing
portfolio_value_500k,YKF_YVR,75000,relaunch_feasibility,two_stage_capacity_gated_test,long_haul,inactive,1,qualified_demand_signal,route_waitlist;survey_purchase_intent;search_demand;airline_capacity_commitment,YXU_YVR,YHM_YVR,YHM_YYC,8,6,4,92558.1204,1424.4630,0.0154,0.0800,Feasibility only until capacity is committed,Advance to airline/capacity negotiation if qualified demand signal reaches 90% of base target and capacity partner interest is confirmed,Continue validation if qualified demand signal reaches 50%-90% of base target,Stop relaunch spend if demand signal is below maintain threshold or capacity is unavailable,Do not interpret demand signals as passenger lift until airline capacity is committed.,99.4792,76.7484,81.9442,Relaunch feasibility test; verify airline capacity first
portfolio_value_500k,YXU_YYC,75000,test_and_learn,matched_route_geo_lift,long_haul,active,0,route_bookings_or_booking_proxy,route_searches;landing_page_conversions;load_factor;fare_yield,YHM_YYC,YHM_YEG,YHM_YVR,12,8,4,62012.9228,1526.9246,0.0246,0.0369,Directional; pool with similar routes or extend test window,"Scale if observed incremental lift is >= 85% of base target (1,298 proxy passengers)",Maintain or retest if observed lift is 50%-85% of base target,Stop or redesign if observed lift is < 50% of base target or guardrails fail,Do not scale if incremental demand appears to cannibalize nearby supported routes.,100.0000,80.8266,63.3966,Run test-and-learn marketing
portfolio_value_500k,YXX_YYC,75000,test_and_learn,matched_route_geo_lift,medium_haul,active,0,route_bookings_or_booking_proxy,route_searches;landing_page_conversions;load_factor;fare_yield,YLW_YYC,YKF_YHZ,YLW_YEG,12,8,4,104806.1537,2416.8243,0.0231,0.0350,Medium; validate with booking or search-conversion data,"Scale if observed incremental lift is >= 85% of base target (2,054 proxy passengers)",Maintain or retest if observed lift is 50%-85% of base target,Stop or redesign if observed lift is < 50% of base target or guardrails fail,Do not scale if incremental demand appears to cannibalize nearby supported routes.,93.7500,77.5137,65.8572,Run test-and-learn marketing
portfolio_value_500k,YXX_YEG,50000,maintain,incrementality_guardrail_test,medium_haul,active,0,route_booking_proxy_or_search_lift,route_page_conversion;search_share;load_factor,YLW_YEG,YKF_YHZ,YLW_YYC,12,6,4,101468.0834,1798.4880,0.0177,0.0266,Directional; pool with similar routes or extend test window,"Scale if observed incremental lift is >= 75% of base target (1,349 proxy passengers)",Maintain or retest if observed lift is 40%-75% of base target,Stop or redesign if observed lift is < 40% of base target or guardrails fail,Keep spend capped unless there is clear evidence of leakage recapture or retention value.,93.7500,71.5851,58.7321,Maintain service; monitor capacity and leakage
portfolio_value_500k,YLW_YVR,25000,maintain,incrementality_guardrail_test,short_haul,active,0,route_booking_proxy_or_search_lift,route_page_conversion;search_share;load_factor,YLW_YYC,YLW_YEG,YHM_YVR,12,6,4,630614.5819,6205.8010,0.0098,0.0250,Medium; validate with booking or search-conversion data,"Scale if observed incremental lift is >= 75% of base target (4,654 proxy passengers)",Maintain or retest if observed lift is 40%-75% of base target,Stop or redesign if observed lift is < 40% of base target or guardrails fail,Keep spend capped unless there is clear evidence of leakage recapture or retention value.,93.7500,86.3659,50.5784,Maintain service; monitor capacity and leakage
